Course,Distribs,Quality,Reviews
BIOL053: Aquatic Ecology,SLA,1.0,6.0
BIOL054: Advanced Methods in Ecological Research,SLA,1.0,9.0
BIOL055: Ecological Research in the Tropics I,SLA,3.0,5.0
BIOL056: Ecological Research in the Tropics II,SLA,2.0,4.0
BIOL057: Ecological Research on Coral Reefs,SLA,2.0,4.0
BIOL058: Advanced Community Ecology,SCI,1.0,3.0
BIOL059: Biostatistics II,QDS,2.0,4.0
BIOL063: RNA: The Real Secret of Life,SCI,1.0,4.0
BIOL065: Current Topics in Molecular Genetics,,1.0,9.0
BIOL066: Molecular Basis of Cancer,SCI,2.0,19.0
BIOL067: The Biology of Fungi and Parasites that Cause Disease,SCI,1.0,4.0
BIOL069: Cell Signaling,SCI,4.0,4.0
BIOL070: Biologic Lessons of the Eye,SCI,0.0,6.0
BIOL071: Current Topics in Cell Biology,SCI,2.0,7.0
BIOL072: Foundations of Epidemiology I,SCI,4.0,7.0
BIOL073: Foundations of Epidemiology II,SCI,2.0,1.0
BIOL074: Current Topics in Neurobiology,SCI,3.0,2.0
BIOL076: Advanced Genetics,SCI,1.0,11.0
BIOL078: Molecular Mysteries of Human Biology,SCI,5.0,19.0
BIOL099: Senior Seminar in Biology,,2.0,1.0
CHEM002: Quantitative Reasoning in Chemistry,,1.0,1.0
CHEM005: General Chemistry,SLA,36.0,382.0
CHEM006: General Chemistry,SLA,7.0,256.0
CHEM007.01: Science and Society,SCI,3.0,1.0
CHEM007: First-Year Seminars in Chemistry,,1.0,1.0
CHEM010: Honors First-Year General Chemistry,SLA,32.0,103.0
CHEM041: Biological Chemistry I,SLA,8.0,38.0
CHEM051: Organic Chemistry,SLA,14.0,199.0
CHEM052: Organic Chemistry,SLA,10.0,170.0
CHEM057: Honors Organic Chemistry,SLA,13.0,55.0
CHEM058: Honors Organic Chemistry,SLA,13.0,32.0
CHEM063: Environmental Chemistry,TLA,4.0,15.0
CHEM064: Basic Inorganic Chemistry,SLA,11.0,43.0
CHEM067: Physical Biochemistry,SLA,1.0,15.0
CHEM075: Physical Chemistry I,SLA,0.0,1.0
CHEM093: Physical Organic Chemistry,SCI,1.0,5.0
CHIN001: First-Year Courses in Chinese,,20.0,8.0
CHIN002: First-Year Courses in Chinese,,10.0,31.0
CHIN003: First-Year Courses in Chinese,,6.0,20.0
CHIN004: Advanced First-Year Chinese,,32.0,19.0
CHIN010: Introduction to Chinese Culture,"LIT, CI",3.0,2.0
CHIN022: Intermediate Modern Chinese (Second-year level),"LIT, NW",5.0,1.0
CHIN023: Intermediate Modern Chinese (Second-year level),"LIT, NW",1.0,1.0
CHIN031: Advanced Modern Chinese (Third-year level),"LIT, NW",3.0,1.0
CHIN032: Advanced Modern Chinese (Third-year level),"LIT, NW",3.0,1.0
CHIN033: Advanced Modern Chinese (Third-year level),"LIT, NW",2.0,1.0
